Movie ID,Review Title,Review Content,Review Date,Worldwide BO,Sentiment Score
tt0435705,magic do,nicholas cage  julianne moore  jessica biel star next   2007 action film directed lee tamahori written gary goldman  jonathan hensleigh  paul birnbaum  cris johnson cage is magician named frank cadillac   people dont know is johnson has unique gift can see two minutes future long impacts personally  is one exception girl dreams biel  seen waiting meet  johnson has come attention fbi  led moore  is nuclear munitions shipping coming u    want johnsons helping locating  one night  casino  overcomes would  robber grabs gun  saw future man not robbed casino  shot young woman payout window  however  police attempt arrest  thinking gun is his fbi knows differently  two  minute warnings  johnson is able get away stolen car go officially run  not does fbi want  munitions people well  found film entertaining neat effects plays past future  sometimes advancing plot ahead mere seconds  nicholas cage is always great  is beleaguered magician has come attention casino suspect cheating  good cast  late peter falk has cameo  another treat  didnt catch reviews film came nor did do glance imdb  is action film  action films  one enjoys action doesnt dwell plot nor delve deeply   basic premise action sequences films can absurd  go have fun  thats do  anyway,"Jan 26, 2013",77621983,0.8958
tt0435705,mining another philip k  dick story,next comes story written philip k  dick  like many clever film titles last thirty years   takes simple idea   alternate reality    creates engaging drama  film involves variation time travel  correctly  involves multiple realities  universes  nicholas cage plays chris johnson aka frank cadillac  small  time las vegas magician makes real money gaming tables  has special talent can look two minutes future see outcomes various potential actions  talent has put cross hairs fbi others  feds especially team lead special agent played julianne moore want help thwart nefarious plans terrorists  chris has suffered enough prodding hands authorities life  narrative has fun idea multiple realities  often fooling viewer  amidst chase scenes are numerous chances question boundaries magicians powers  special effects used portray options are enjoyable  wild card is attractive young woman named liz cooper jessica biels enters consciousness  chris is drawn mysterious woman  especially since presence seems alter abilities  cant say nicholas cage would first choice role  plays well enough  jessica biels is fun watch believable  julianne moore does good job riding line hard  nosed agent considerate person  feel sure people not like ending  prefer detect plot holes rather enjoy ride may not find much enjoyment,"May 23, 2014",77621983,0.9893
tt0435705,exciting film,watched film not knowing anything heard  came foxtel  good film  great come across random film has good story line is action packed top cast  nic cage plays interesting role would hold endless possibilities  man can see future next two minutes  imagine talent  does gambling thing people would take advantage  does girl thing knowing get rejected not  normal sort fun things  gets called upon fbi save human race usual bomb threat  lots action definitely worth watch,"Oct 12, 2008",77621983,0.9246
tt0435705,far expected,next is much better movie expected see  read reviews called disjointed silly  quite contrary  found deeply absorbing  quickly picked elements must have caused reviewers accuse disjointed  began enjoying  course silliness is part sci  fi story  suspend critical senses regard do not become sci  fi fans  single one performer among fine cast  julianne moore has really established the deadpan action queen  was better agent starling jody foster was  terrific  dominant presence film  kudos propelling top tough genre  makes films interesting watch  dint strong performances  read phillip k  dicks the golden man many years ago still remember lot  first began hearing movie immediately flashed wondered was movie intriguing story  answers are yes no   the golden man is much ordinary story  resounding insights consequences existence  skin was compellingly attractive rich golden hue  helped make irresistible women  none fits new story  was properly omitted  is translated well written page screen is governments intense interest although different reasons  efforts get official control  exceeding difficulty  course  story ends wholly different way movie  satisfying inevitable conclusion bolsters mr  dicks reputation opening future us   ok  one little spoiler alert  read no unless dont mind i have add  flurry action sequences come like staccato rendition flight bumblebee escape custody  is thoroughly delectable brought one involuntary ha audience saw  including  one tastiest treats film  finally  yes  wish knew heck terrorists were heck were trying accomplish nefarious plot  guess thats brave new world live  dont get hear bad guys dialogue  reasons things do  way next is giving us another insight  not dropping us cold others have complained  legitimate beef agree is entirely unnecessary plain goofy nicholas cage business final pursuit  looks like must have idea somebody high among moguls deny  is definite distraction causing huh what moments action is intense   feather everybodys cap movie fully recommend without reservation  drama  humor  really fine action sequences  twists  great characters  baseball great yogi berra said   dont miss can,"May 5, 2007",77621983,0.996
tt0435705,pretty good stuff,cris is man gift  can see future  least bit includes  gift has used cheap tricks occasional gamble   is federal agent knocking door  telling needs predict act terror is going happen  far background story  is clear isnt first time kind story is worked  are many films play around thing really  one is  plays around theme way  imo  has rights needs considered new film  way story is worked really isnt half bad  somewhat predictable nevertheless amusing  rolling steadily like rocky river  effects are good enough  apart handful  characters are believable tension is but barely enough keep going  7 10 futures altered,"May 2, 2007",77621983,0.7557
tt0435705,2 minute forecaster,next is film chris played nicolas cage  man can see happen personally two minutes future  exception rule is vision has beautiful woman jessica biel knows meets particular diner 809  every day  twice day exactly 809 is diner one day arrives  chris forecasting skills  goes casinos occasion supplement salary regular job magician  skills are noticed agent fbi julianne moore wants utilize abilities thwart terrorists plan set nuclear device los angeles  found movie entertaining suspenseful  are sequences cgi looks kind fake overall thought was good  was well  acted well  paced  almost always like nicolas cage movies  man oh man jessica biel looks absolutely smmmmmoking hot recommend it give seven stars,"Apr 1, 2012",77621983,0.9551
tt0435705,good idea philip k  dick slips away script,philip k  dick has resource stories exciting films minority report  total recall  blade runner  next  short story the golden man adapted gary goldman directed lee tamahori  concept precognition human feature altering future falls video game format becomes action film less human interest tale  cris johnson aka frank cadillac nicholas cage is sloe eyed las vegas grungy magician has found way hide fact has gift see two minutes future  gift rewards gambling tables draws attention fbi thwarted attempt cris part stop robbery is captured video tape  fbi  especially agent callie ferris julianne moore  knows nuclear device has entered usa terrorists headed mr  smith thomas kretschmann  device cannot traced  nuclear bomb threatens lives millions citizens  agent callie observes cris talent engages aid discovery site device  chris powers lead beautiful young woman liz jessica biel powers see future can extended requisite 2 minutes  series attempts introduction  cris liz bond  allowing cris expanded powers help persistent agent callie  point film dissolves yet another combustible crashing action flick endless cg special effects  erasing character development  ending is one might expect  not philip k  dick style  cage biel do well  moore seems bored character  kretschman yet embodies evil terrorism beyond  are rather extraneous scenes indian reservation add little except beauty grand canyon story  are truly funny scenes themes variations chances take approaching potential love source  end gets rather lost explosions ad infinitum mark film routine action flick  grady harp,"Sep 29, 2007",77621983,0.975
tt0435705,unexpectedly good,saw movie sale bargain £3  had never heard  nicholas cage is usually watchable  lee tamahori did brilliant were warriors look 2 minutes future macguffin sounded intriguing enough bought put dvd player dinner wife watch  was really good kept us edge seats end the ending was also clever imho  actually best movie along maybe watchmen seen year  imagine pitch was something like groundhog day meets die hard  less pulled  could have had love interest less age gap but assume jessica biel is eye candy not acting reasons plot is bit silly times  cage plays right amount tongue cheek lead paranormal action romance compared last movie sat watched wife the third mummy is similar genre suppose  is different class  cant really understand many folks give really low ratings  maybe real hard core action guys dislike  probably not  really came pleasant surprise  highly recommended,"Mar 27, 2009",77621983,0.888
tt0435705,entertainginly pedestrian  could have much better,oh hollywood  hollywood  hollywood  cant invest little millions dollars obviously put special effects  paying nicolas cage rest decent story  next has brilliant premise  is drew first place and misleadingly good reviews  let  entertaining enough simple brain demands is yet another guy run fbi  must stop bad guys  explosions chases type film add identikit hundred probably seen already  expect little bit utterly pedestrian mr cage miss moore helm  doesnt deliver  things start well enough  always do types films  introduced cages character rules future seeing world operate entertaining spin las vegas  things start go wrong  spoilers ahead first gripe terrorists  french    mean  great break film stereotypes dont make terrorists muslims  expect credibility backstory ludicrous notion french terrorists want blow la nuclear bomb  never told never explained  load rubbish  not make canadian iceland  makes much sense  got lose bucket loads respect film imaginary world trying create two hours plot hole stupid  symptomatic lazy storytelling is letdown film  rules cages future seeing universe are explained us conveniently broken whenever deux et machina plot moment requires  point gotten bit silly given caring  except maybe wonder julianne moore thinks worth wasting time sort stuff  cant get better work oh twist end  moment thought actually going do something clever  no  gets sillier yet arbitrarily break rules created  no french terrorists waiting time  though should  yes  entertaining enough  thats want disappointing many areas  makes wonder hollywood is dog eat dog world talented survive can turn many dogs films like  internet forum movie buffs could have rewritten something much better,"Sep 18, 2007",77621983,0.8335
tt0435705,entertaining mind bending thriller,nicolas cage fan movie has sucked was wicker man knew movie would pretty good was  never see twists coming often movie able see future change like would really cool us  julianne moore jessica biel were pretty good film  enjoyed didnt bore  neither did directors two action films watched were die another day xxx 2 state union  have heard weird things director  knows make good movie  thats know  overall give 7 10 was pretty good wasnt perfect anything  would recommend sci  fi thriller fans definitely though,"Oct 2, 2007",77621983,0.9767
